Company.name,owler corrrectionn,Company Business,Category,Company Revenue,Competitor count (cap at 10),Competitor Revenue in Total,HHI,crawl_tried,potential crawl failing point,notes,competitors revenue 1,competitors revenue 2,competitors revenue 3,competitors revenue 4,competitors revenue 5,competitors revenue 6,competitors revenue 7,competitors revenue 8,competitors revenue 9,competitors revenue 10
buildingrobotics,,Comfy is changing the way people interact with their workplaces. Formerly known as Building Robotics.,"Artificial Intelligence, Business Intelligence, Enterprise Software, Mobile Apps, SaaS, Smart Building",,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medicalsimulation,medsimulation,Medical Simulation provides full-service simulation training and consulting services for healthcare personnel and medical societies.,"Biotechnology, Health Care, Hospital",10.7,10,36076.2,0.257774805,0,0,,10.0,16.3,7100.0,12200.0,10300.0,995.0,1.0,21.7,32.2,5400.0
cancergenetics,,,,24.2,10,652.2,0.46275014200000003,0,0,,3.8,1.0,394.1,3.7,1.0,28.2,3.5,6.5,9.0,201.4
kindredbiosciences,kindredbio,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
topgifter,,Search and get Gift Recommendations,"E-Commerce, Gift, Shopping",2.6,6,82.5,0.326574839,0,0,,3.3,3.6,37.6,25.7,11.1,1.2,0.0,0.0,0.0,0.0
itnenergysystems,itnes,ITN Energy Systems is a research and product development organization focused specifically on technology development and commercialization.,"Information Technology, Product Management, Product Research",,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pica9,,The leading SaaS Brand Management Platform empowering brands to deliver local campaigns at scale.,"Advertising, Brand Marketing, Digital Media, Direct Marketing, Enterprise Software, Local Advertising, Marketing Automation, SaaS",7.0,10,214.8,0.18752449100000002,0,0,,31.1,70.3,35.0,10.0,5.1,1.1,4.4,29.4,7.0,21.4
livelyformerlyhamlet,,Lively is the connected home health platform that provides a medical alert device older adults actually want to wear,"Elderly, Hardware, Internet of Things, mHealth, Software",,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
actionx,,ActionX_connects gaps between mobile customer acquisition and mobile retargeting to drive transactions and_improve customer lifetime value.,"Ad Retargeting, Mobile",1.0,8,3477.9,0.479244161,0,0,,300.0,2300.0,234.2,1.4,12.0,601.0,4.4,24.9,0.0,0.0
forgerock,,"ForgeRock digital identity management solutions transform how organizations securely interact with customers, employees, devices, and things","Cyber Security, Enterprise Software, Identity Management, Information Technology, Internet of Things, Privacy",73.8,10,388.3,0.18483064600000002,0,0,,66.3,33.5,11.0,20.0,47.0,74.5,1.0,8.0,9.0,118.0
nakivo,,"NAKIVO Inc. provides fast, reliable and cost-effective all-in-one VM backup, replication, disaster recovery for VMware, Hyper-V and AWS EC2.","Computer, Enterprise Software, Security",19.0,10,6798.4,0.5260740629999999,0,0,,999.2,11.4,94.1,440.6,181.1,194.1,35.3,27.6,4800.0,15.0
bobler,,Bobler is a social media app (iPhone&Android) based on the most natural way to communicate: your voice.,"Audio, Mobile, Social Media",,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smartenergyinstruments,se-instruments,Smart Energy Instruments offers measurement technology solutions for electrical grid distribution networks and IoT infrastructures.,"Energy, Energy Efficiency, Information Technology",1.0,1,12.0,0.8579881659999999,0,0,,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cytogelpharma,,Cytogel Pharma is a bio-pharmaceutical development company that pursues strategic opportunities for pharmaceutical product development.,"Biopharma, Biotechnology, Health Care",43.5,4,719.3,0.931826455,0,0,,4.4,3.0,694.1,17.8,0.0,0.0,0.0,0.0,0.0,0.0
invine,,Next-generation Menus For Restaurants,"E-Commerce, Information Technology, Internet, Restaurants, Software",,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shake,,"Shake is a mobile application used to create, sign and send legally binding agreements.","Legal, Mobile, Small and Medium Businesses",,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
firstfunder,,First Funder is an uncommon approach to crowd sourced funding.,"Crowdfunding, Crowdsourcing, Financial Services",,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
regulatorybinder,,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stroho,,Stroho helps homeowners purchase 'Unseen Essential Household Items' (USEHI) through a subscription-based business model.,"Clean Energy, E-Commerce, GreenTech",,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
outboundengine,,OutboundEngine is super simple marketing software combined with a team of experts who make it work for you.,"Advertising, Email Marketing, Marketing Automation, Social Media",31.2,10,499.9,0.17552040100000002,0,0,,27.0,150.0,65.9,109.7,12.0,11.0,22.2,31.6,32.5,38.0
fidelissecuritysystems,,,,,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capzure,,Knowledge Management + Ticketing + Time Tracking + Billing.,"CRM, Knowledge Management, Software",1.0,1,3.9,0.67513536,0,0,,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trusper,,"An app & web for healthy living inspiration by user sharing videos, photos, posts and products","Content, Content Creators, E-Commerce, Marketplace, Social Media",,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
birdhouseforautism,,Birdhouse is a social enterprise that provides care coordination technology for developmental disabilities & chronic conditions communities.,"EdTech, Health Care, Information Technology",,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tixalert,,Parking Ticket Buster Mobile App,"Apps, Internet, Mobile, Mobile Apps",,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8bitfit,,"8BitFit helps people reach fitness goals with smartphone games that make exercise less boring and more fun. Play games, get fit, have fun!","Apps, Fitness, Gamification, Health Care, iOS, Sports",,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quantason,,Quantason develops bi-modal US/IDUS_ platform technology for diagnostic imaging and active screening.,"Biotechnology, Enterprise Software, Health Care, Health Diagnostics",,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loopport,,"Loopport creates and distributes loops, beats, sample patches and other musicians' tools.","Music, Musical Instruments",,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
utahstreetlabs,,"Utah Street Labs owns and operates copious.com, an e-commerce platform for buying and selling between known people.","E-Commerce, Group Buying, Social Media",,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bitscopic,,Healthcare Data Analytics and AI; Clinical and Business Intelligence; Decision Support; Infection Control; Biosurveillance,"Analytics, Big Data, Biotechnology, Clinical Trials, Health Care, Machine Learning",,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
datatorrent,,DataTorrent provides the industry's only stream processing platform to help companies extract value from their Big Data in real-time.,"Analytics, Big Data, Cloud Computing, Enterprise Software, Infrastructure, Open Source",2.8,10,78.3,0.18155112899999998,0,0,,8.5,2.4,4.5,2.0,10.9,20.0,1.0,21.0,1.0,7.0
investmentunderground,,Investment Underground is a provider of commodities and stock market news and trends.,"Content, Human Resources, News",,0,0.0,,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
